Animal;Terrain;Status;Cost;Location/Era
Pacific Octopus;Aquatic;Least Concern;$900;Pacific Ocean
Harbor Porpoise;Aquatic;Least Concern;$800;Pacific Coast
Southern Sea Otter;Aquatic;Endangered;$800;Pacific Coast
Green Moray Eel;Aquatic;Least Concern;$800;Atlantic Ocean
Atlantic Sword Fish;Aquatic;Vulnerable;$1,000;Atlantic Ocean
Bluefin Tuna;Aquatic;Vulnerable;$500;Atlantic Ocean
Orca;Aquatic;Least Concern;$2,500;Many Oceans Worldwide
Bottlenose Dolphin;Aquatic;Least Concern;$1,000;Many Oceans Worldwide
Humpback Whale;Aquatic;Least Concern;$4,000;Many Oceans Worldwide
Sperm Whale;Aquatic;Vulnerable;$3,000;Many Oceans Worldwide
Great White Shark;Aquatic;Vulnerable;$2,500;Many Oceans Worldwide
Lion's Mane Jelly;Aquatic;Least Concern;$900;Many Oceans Worldwide
Giant Squid;Aquatic;Least Concern;$6,000;Many Oceans Worldwide
Mermaid;Aquatic;;;Many Oceans Worldwide
